ID	TEXT	CLASS
628e2ea2c39994727d40749fa8401f86	| por pequeña que sea la gota es esencial para formar un todo (¡vota!) | #27S https://t.co/CMp6a2QI2v	NEUTRAL
98c648ad66ac242894354555535e61a5	#CATNaranja Si alguien ha ganado hoy es @CiudadanosCs Somos los únicos que tenemos algo que celebrar. Porque Cataluña IS Spain @Cs_Asturias	AGAINST
29db11ddffc22a2f572b47d624b8176d	@bassileo La noche de oracion del Cardenal Canizares en favor de la unidad de España ha sido un fracaso! Es Dios Catalan?" #JuntsPelSi #27s	FAVOR
eded8d30321e42ff4f6cff61fe4b9a97	Niño curioso toqueteando las papeletas del Partido Animalista en el Palau de Virreina #eleccionescatalanas #27S http://t.co/7jFyO1tSO0	NEUTRAL
974ee2f24ba2e4fa13f01c557d87dd2c	Confío y deseo que hoy no me partan el corazón #27s	NEUTRAL
3381f78a35b9ae5785dccf0db23a9035	Pues @junqueras  parece que está viendo a la virgen #eleccionescatalanas	NEUTRAL
8d91511aa968eed3c3c3b31e56676f4	164.247 personas pueden votar por primera vez en las #EleccionesCatalanas hoy #27S #27sTVE @RTVECatalunya @tve_catalunya @radio4_rne	NEUTRAL
e0b953852031a94ddba05406c5c5ad3a	Al final la injusticia de la Ley Electoral el 51,87% de los votantes obtienen 9 escaños menos (actualizado) #27S http://t.co/rzMOAXaWEi	AGAINST
4987a5924e4feaf670114fae376afbb3	Que al #CatalunyaSiQueEsPot le haya superado no solo C's si no también PSC y PP, y casi casi la CUP, me parece terriblemente lamentable.	NEUTRAL
cc148bff7009f854c5c15acb309e0ee0	A Ferreras le parece batacazo lo del PP, pero lo de Podemos/ICV con los mismos escaños, no. Vaya análisis. #eleccionescatalanas	NEUTRAL
434d18ecb7d7e93dd1e4ea491a0eede1	Cataluña se ha convertido en un archivo GIF. Es un extraño bucle en baja resolución. #27S	NEUTRAL
b7bceb36170cbb6e3ee5880a088bf613	Baños (CUP) llamando ahora mismo a desobedecer e incumplir todas las leyes españolas. 10 escaños en el Parlament #27S	NEUTRAL
5db9ce79ec0ad7468e32ee68dbb2211	Resumen de la jornada electoral: altísima participación, no a la independencia, subidón de Ciutadans y hostiazo del PP #eleccionescatalanas	NEUTRAL
a8dcf0fb40d639d69766044e1fc4207d	Hoy voy a votar. Todos los catalanes deberían ir a votar. Quien no vote, que luego no se queje. #27S	NEUTRAL
f942f9c7b9640a15b7f51ce9d9920113	Si fuera pakistaní no me arrimaba hoy a García Albiol. #eleccionescatalanas #27S #Seny #TuCoñoEsMiDroga	AGAINST
c7f988ba81df4e6166411ca0261cc43a	No sabéis cómo me he sentido hoy votando, un pasito más. #27S #Sí Fent història.	FAVOR
99d975f20458c568a4fa413777f050d	@BobEstropajo: Miquel Iceta momentos después de VOTAR #EleccionesCatalanas http://t.co/quELF3dc4S @miqueliceta	NEUTRAL
7f4f2dc82cd562bcdb020a7d362b1a92	La @cupnacional como @compromis. Las encuestas siempre les dan mucho menos pero la gente NO ES TONTA! #eleccionescatalanas ||*||	FAVOR
4fb5c7b0b6464d9498597c218b476f55	Junts pel sí y la CUP tendrían mayoría absoluta pero, de momento, no llegarían al 50% de los votos. #Eleccions27S #eleccionescatalanas	NEUTRAL
