ID	TWEET	CLASS
768213567418036224	@myendlesshazza a. que puto mal escribo b. me sigo surrando help 3. ha quedado raro el "cómetelo" ahí JAJAJAJA	N
768221670255493120	Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps 	P
768221021300264964	Vale he visto la tia bebiendose su regla y me hs dado muchs grima 	N
768220253730009091	@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal 	P
768231229439311872	@toNi_end seria mejor que dejasen de emitir esa basura ya  hay que evolucionar para bien y eso	N
768231166965145600	@jonoro96 te mandaria a comprarte un burro, pero no creo que hayan tiendas abiertas ahora 	N
768224471127826432	@hywzz la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que 	N
768223146868703232	@mendescodes @heroinseb enserio cuando habéis dicho que los froot loops están malos me ha dolido... 	N
768228580673347584	Oye @luciaskaa te pones a hablar con @josecs02 como en los viejos tiempos y no avisas  @JuanAlfonso251 @CrisDazGar	N
768228346232729603	@JCLilGangster yo tengo que aguantar 4 niños pequeños, no sé que es peor 	N
768018934385807360	Es muy raro el sentimiento que tengo ahora, aunque en fin... Qué más dará 	NEU
768055768700575744	@xZ4dry @xSLGY Tienes pinta buena gente por lo q veo, t he conocio gracias a qt 	P
768065433362726912	@AlbGarD Oh  ¿Me estás llamando gordo? JAJAJA Grazie ruliño  Lo mismo puedo decir 	N
768064453246128128	@seestrena #seestrenasietevidas Sería un gato tipo Garfield porqué soy un poco vago y porqué me encanta la lasaña!! 	P
768063661541851137	@prxttytimebomb @emimartinez_98 Si es que odio a muerte a la nueva Harley que quieres 	N
768062895053742080	@joseche_jagg @adsuara +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos 	NONE
768059359934943233	.@soyalt_es estaremos atentas a las novedades futuras. ¡El final del verano no será igual sin vosotros! 	N
768057277865717761	Confirmao tengo el pie roto, he notado como el puto hueso se movía 	N
768074230541975553	@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!! 	P
